./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
63  62  57  57  57  58  67  57  56  57  max: 67  average 10: 59  average total: 59 0KB/s(in)
20:20.16 59 58  58  59  57  58  58  59  57  63  max: 63  average 10: 58  average total: 58
20:20.17 51 51  52  51  60  62  61  63  56  56  max: 63  average 10: 56  average total: 56 9.8KB/s(in)
20:20.17 56 57  55  55  54  54  63  54  64  49  max: 64  average 10: 56  average total: 56
20:20.18 58 59  119 109 79  57  59  47  56  51  max: 119  average 10: 69  average total: 69
20:20.18 60 59  119 110 79  120 109 78  57  58  max: 120  average 10: 84  average total: 84
20:20.19 57 57  52  52  50  51  61  60  53  60  max: 61  average 10: 55  average total: 55
20:20.19 60 60  62  58  58  63  53  62  52  61  max: 63  average 10: 58  average total: 58
20:20.20 51 61  61  61  61  59  63  63  60  55  max: 63  average 10: 59  average total: 59
20:20.20 55 54  55  54  56  63  52  63  62  61  max: 63  average 10: 57  average total: 57
20:20.21 61 60  54  54  54  54  54  77  63  63  max: 77  average 10: 59  average total: 59
20:20.21 52 63  66  61  65  60  58  57  56  96  max: 96  average 10: 63  average total: 63
20:20.22 225    217 187 195 149 98  65  89  55  88  max: 225  average 10: 136  average total: 136
20:20.22 59 88  58  82  57  78  57  75  55  71  max: 88  average 10: 68  average total: 68
20:20.23 162    173 122 100 81  60  58  58  76  56  max: 173  average 10: 94  average total: 94
20:20.23 94 99  55  96  49  60  60  86  88  58  max: 99  average 10: 74  average total: 74
20:20.24 57 81  58  57  74  57  70  169 162 121 max: 169  average 10: 90  average total: 90
20:20.25 111    71  59  60  57  57  56  57  68  99  max: 111  average 10: 69  average total: 69
20:20.25 94 191 161 121 101 60  61  61  62  54  max: 191  average 10: 96  average total: 96
20:20.25 54 55  55  125 116 84  52  53  61  57  max: 125  average 10: 71  average total: 71
20:20.26 56 56  55  105 65  54  65  55  64  54  max: 105  average 10: 62  average total: 62
20:20.26 64 55  60  59  58  58  57  58  58  58  max: 64  average 10: 58  average total: 58
20:20.27 56 56  66  56  60  61  59  58  58  59  max: 66  average 10: 58  average total: 58 9.8KB/s(in)
20:20.27 60 59  58  58  58  59  58  59  52  113 max: 113  average 10: 63  average total: 63
20:20.28 105    73  53  63  53  63  63  61  63  61  max: 105  average 10: 65  average total: 65
20:20.28 56 56  57  56  54  55  56  64  64  65  max: 65  average 10: 58  average total: 58
20:20.29 66 52  62  57  57  56  57  56  56  56  max: 66  average 10: 57  average total: 57
20:20.30 56 57  63  57  63  61  57  58  57  59  max: 63  average 10: 58  average total: 58
20:20.30 54 55  54  54  63  63  52  62  68  55  max: 68  average 10: 58  average total: 58
20:20.31 56 55  54  116 85  65  65  72  55  59  max: 116  average 10: 68  average total: 68
20:20.31 58 59  59  59  59  59  61  59  58  63  max: 63  average 10: 59  average total: 59
20:20.32 53 53  63  62  54  62  52  62  79  72  max: 79  average 10: 61  average total: 61
20:20.32 147    112 106 65  70  53  63  52  66  61  max: 147  average 10: 79  average total: 79
20:20.33 61 66  55  56  55  61  65  64  54  65  max: 66  average 10: 60  average total: 60
20:20.33 63 63  126 108 79  57  57  58  56  59  max: 126  average 10: 72  average total: 72
20:20.34 57 56  66  65  51  51  59  61  60  60  max: 66  average 10: 58  average total: 58
20:20.34 60 58  57  57  65  56  63  61  60  50  max: 65  average 10: 58  average total: 58
20:20.35 60 61  60  61  60  62  60  60  49  59  max: 62  average 10: 59  average total: 59
20:20.35 55 67  55  56  55  55  66  64  65  55  max: 67  average 10: 59  average total: 59
20:20.36 66 49  59  59  59  58  57  58  70  55  max: 70  average 10: 59  average total: 59
20:20.36 56 65  65  59  140 111 98  56  57  56  max: 140  average 10: 76  average total: 76
20:20.37 56 57  56  57  60  76  79  69  182 170 max: 182  average 10: 86  average total: 86
20:20.37 139    133 160 161 110 120 235 214 189 155 max: 235  average 10: 161  average total: 161 9.7KB/s(in)
20:20.38 124    95  79  53  53  63  59  63  52  66  max: 124  average 10: 70  average total: 70
20:20.38 62 62  58  77  63  56  137 104 93  52  max: 137  average 10: 76  average total: 76
20:20.39 53 65  65  69  130 110 84  54  67  124 max: 130  average 10: 82  average total: 82
20:20.39 114    73  53  68  63  62  62  51  62  57  max: 114  average 10: 66  average total: 66
20:20.40 57 58  76  59  56  55  61  66  54  65  max: 76  average 10: 60  average total: 60
20:20.40 70 59  49  59  59  69  120 129 134 83  max: 134  average 10: 83  average total: 83
20:20.41 59 48  53  53  62  52  61  61  68  65  max: 68  average 10: 58  average total: 58
20:20.41 66 62  60  57  61  57  56  56  60  125 max: 125  average 10: 66  average total: 66
20:20.42 114    75  49  62  60  59  60  72  60  60  max: 114  average 10: 67  average total: 67
20:20.42 60 65  55  55  54  68  123 114 83  63  max: 123  average 10: 74  average total: 74
20:20.43 62 62  61  60  61  57  56  55  59  65  max: 65  average 10: 59  average total: 59
20:20.43 122    106 65  71  92  93  213 213 210 168 max: 213  average 10: 135  average total: 135
20:20.44 157    118 105 106 274 254 234 213 192 153 max: 274  average 10: 180  average total: 180
20:20.44 124    111 81  60  61  60  61  64  149 114 max: 149  average 10: 88  average total: 88
20:20.45 103    73  71  62  60  148 124 101 84  68  max: 148  average 10: 89  average total: 89
20:20.45 67 158 158 158 271 265 225 213 182 147 max: 271  average 10: 184  average total: 184
20:20.46 133    83  52  69  62  137 109 96  55  55  max: 137  average 10: 85  average total: 85
20:20.46 56 55  54  52  62  62  62  53  57  56  max: 62  average 10: 56  average total: 56
20:20.47 57 56  56  56  56  68  55  54  65  53  max: 68  average 10: 57  average total: 57
20:20.47 64 58  58  58  57  57  58  58  59  47  max: 64  average 10: 57  average total: 57 9.9KB/s(in)
