./client_epoll/client_epoll 20003 120.26.200.117 23456 50 2>>./error.log

connect to: 120.26.200.117 23456
Run UDT client loop ...
143 88  51  45  46  50  53  56  48  52  max: 143  average 10: 63  average total: 63 0KB/s(in)
20:20.40 53 45  70  60  45  51  53  55  49  53  max: 70  average 10: 53  average total: 58
20:20.40 65 55  51  46  53  63  49  56  47  68  max: 68  average 10: 55  average total: 58
20:20.41 48 52  44  53  46  52  57  51  61  65  max: 65  average 10: 52  average total: 58
20:20.41 47 55  46  52  64  56  45  61  47  48  max: 64  average 10: 52  average total: 58
20:20.42 50 61  143 90  57  48  147 100 77  55  max: 147  average 10: 82  average total: 59 0.9KB/s(in)
20:20.42 63 56  48  51  62  46  51  46  52  45  max: 63  average 10: 52  average total: 58
20:20.43 48 61  54  47  52  57  50  56  47  57  max: 61  average 10: 52  average total: 58
20:20.43 182    128 76  283 246 195 154 133 113 101 max: 283  average 10: 161  average total: 59
20:20.44 97 680 628 579 524 472 418 368 317 266 max: 680  average 10: 434  average total: 62
20:20.45 214    159 109 101 82  67  66  55  50  59  max: 214  average 10: 96  average total: 62
20:20.45 49 52  58  63  52  44  69  85  48  64  max: 85  average 10: 58  average total: 62
20:20.45 202    208 161 126 179 130 80  158 107 111 max: 208  average 10: 146  average total: 63
20:20.46 93 85  76  57  61  54  45  50  53  47  max: 93  average 10: 62  average total: 63
20:20.46 52 47  49  66  47  52  45  51  44  48  max: 66  average 10: 50  average total: 63
20:20.47 52 45  52  58  48  51  55  47  54  47  max: 58  average 10: 50  average total: 62
20:20.47 47 50  45  51  45  49  57  48  52  47  max: 57  average 10: 49  average total: 62
20:20.48 52 55  45  57  50  55  46  50  53  55  max: 57  average 10: 51  average total: 62
20:20.49 46 47  56  48  53  45  51  46  49  55  max: 56  average 10: 49  average total: 62
20:20.49 45 53  47  54  47  51  59  49  57  46  max: 59  average 10: 50  average total: 62
20:20.50 50 44  49  51  53  57  46  50  54  44  max: 57  average 10: 49  average total: 62
20:20.50 51 56  45  50  55  45  50  52  46  48  max: 56  average 10: 49  average total: 62
20:20.51 48 51  56  49  56  46  49  55  48  53  max: 56  average 10: 51  average total: 62
20:20.51 45 48  51  47  52  57  51  45  47  49  max: 57  average 10: 49  average total: 62
20:20.52 55 47  52  56  50  46  53  46  50  54  max: 56  average 10: 50  average total: 62
20:20.52 45 50  55  45  49  55  47  51  45  50  max: 55  average 10: 49  average total: 62 0.9KB/s(in)
20:20.53 45 50  54  46  50  50  47  52  55  47  max: 55  average 10: 49  average total: 62
20:20.53 50 55  45  48  52  54  47  52  45  50  max: 55  average 10: 49  average total: 61
20:20.54 47 52  54  50  54  47  56  46  48  53  max: 56  average 10: 50  average total: 61
20:20.54 44 52  45  45  48  52  58  51  54  47  max: 58  average 10: 49  average total: 61
20:20.55 52 45  47  54  57  47  55  44  49  55  max: 57  average 10: 50  average total: 61
20:20.55 47 51  53  56  46  66  51  52  46  50  max: 66  average 10: 51  average total: 61
20:20.56 52 45  50  54  45  52  55  51  46  58  max: 58  average 10: 50  average total: 61
20:20.56 48 50  51  44  51  56  46  61  52  56  max: 61  average 10: 51  average total: 61
20:20.57 48 54  46  51  45  53  55  47  50  54  max: 55  average 10: 50  average total: 61
20:20.57 46 50  55  45  50  44  48  60  51  45  max: 60  average 10: 49  average total: 61
20:20.58 45 57  49  51  53  55  48  148 94  69  max: 148  average 10: 66  average total: 61
20:20.59 59 51  60  49  52  45  50  57  48  51  max: 60  average 10: 52  average total: 61
20:20.59 52 53  48  52  53  45  46  48  51  52  max: 53  average 10: 50  average total: 61
20:21.0 60  48  55  47  50  51  53  45  49  58  max: 60  average 10: 51  average total: 61
20:21.0 49  56  56  51  54  45  46  49  54  45  max: 56  average 10: 50  average total: 61
20:21.1 48  53  57  50  45  46  50  56  49  50  max: 57  average 10: 50  average total: 61
20:21.1 56  47  52  47  51  55  56  47  51  58  max: 58  average 10: 52  average total: 61
20:21.2 48  53  45  49  58  48  56  46  49  52  max: 58  average 10: 50  average total: 61
20:21.2 47  50  57  45  53  57  47  48  49  54  max: 57  average 10: 50  average total: 60 0.9KB/s(in)
20:21.3 49  55  49  56  46  51  45  51  53  57  max: 57  average 10: 51  average total: 60
20:21.3 49  51  45  49  51  56  48  48  56  51  max: 56  average 10: 50  average total: 60
20:21.4 53  45  48  55  45  46  50  52  53  47  max: 55  average 10: 49  average total: 60
20:21.4 48  60  51  48  49  52  46  47  51  57  max: 60  average 10: 50  average total: 60
20:21.5 50  54  47  46  48  52  45  51  45  47  max: 54  average 10: 48  average total: 60
20:21.5 58  50  61  49  51  50  58  49  57  48  max: 61  average 10: 53  average total: 60
20:21.6 55  47  52  51  56  47  50  59  46  60  max: 60  average 10: 52  average total: 60
20:21.6 55  46  51  57  47  51  54  48  49  51  max: 57  average 10: 50  average total: 60
20:21.7 55  48  53  57  51  55  45  53  47  51  max: 57  average 10: 51  average total: 60
